No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
33649,2017,1,1,0,230.0,230.0,16.0,120.0,3300.0,2.0,-4.7,1016.9,-10.7,0.0,NW,0.4,Dingling
33650,2017,1,1,1,203.0,203.0,14.0,114.0,3100.0,2.0,-5.1,1016.9,-10.7,0.0,NNW,1.3,Dingling
33651,2017,1,1,2,243.0,243.0,15.0,109.0,4300.0,3.0,-5.4,1017.2,-10.6,0.0,NNW,0.3,Dingling
33652,2017,1,1,3,225.0,225.0,13.0,102.0,4200.0,3.0,-5.8,1017.3,-10.2,0.0,N,1.0,Dingling
33653,2017,1,1,4,199.0,199.0,8.0,104.0,2800.0,15.0,-6.2,1016.4,-10.6,0.0,SSW,0.6,Dingling
33654,2017,1,1,5,189.0,189.0,10.0,98.0,3800.0,4.0,-6.0,1016.0,-9.4,0.0,NNE,0.7,Dingling
33655,2017,1,1,6,194.0,194.0,7.0,103.0,3300.0,4.0,-6.1,1016.3,-8.2,0.0,NE,0.9,Dingling
33656,2017,1,1,7,192.0,192.0,5.0,95.0,3300.0,4.0,-7.2,1016.6,-10.1,0.0,NNW,1.6,Dingling
33657,2017,1,1,8,207.0,210.0,6.0,102.0,3400.0,4.0,-7.3,1017.2,-9.4,0.0,SSW,1.3,Dingling
33658,2017,1,1,9,299.0,367.0,8.0,104.0,5100.0,6.0,-6.8,1017.4,-8.2,0.0,E,1.0,Dingling
33659,2017,1,1,10,357.0,357.0,22.0,123.0,5500.0,15.0,-5.1,1017.2,-7.2,0.0,SSW,0.9,Dingling
33660,2017,1,1,11,444.0,498.0,29.0,154.0,6400.0,9.0,-3.7,1016.8,-6.6,0.0,WSW,0.8,Dingling
33661,2017,1,1,12,535.0,553.0,26.0,184.0,6800.0,12.0,-1.7,1015.7,-6.6,0.0,NW,1.2,Dingling
33662,2017,1,1,13,536.0,536.0,29.0,190.0,6400.0,16.0,1.1,1014.7,-8.4,0.0,N,0.8,Dingling
33663,2017,1,1,14,338.0,338.0,34.0,154.0,4200.0,22.0,3.0,1013.8,-8.7,0.0,S,1.4,Dingling
33664,2017,1,1,15,273.0,273.0,30.0,141.0,3400.0,21.0,2.8,1013.7,-8.3,0.0,WSW,1.2,Dingling
33665,2017,1,1,16,286.0,317.0,28.0,153.0,4000.0,22.0,2.1,1013.7,-7.8,0.0,SW,1.0,Dingling
